,Time,Value,Series
422,2019-07-15 07:02:00,31.37,predicted
423,2019-07-15 07:03:00,29.05,predicted
424,2019-07-15 07:04:00,30.06,predicted
425,2019-07-15 07:05:00,31.91,predicted
426,2019-07-15 07:06:00,30.57,predicted
427,2019-07-15 07:07:00,26.92,predicted
428,2019-07-15 07:08:00,29.66,predicted
429,2019-07-15 07:09:00,30.28,predicted
430,2019-07-15 07:10:00,26.64,predicted
431,2019-07-15 07:11:00,26.82,predicted
432,2019-07-15 07:12:00,28.73,predicted
433,2019-07-15 07:13:00,27.55,predicted
434,2019-07-15 07:14:00,25.33,predicted
435,2019-07-15 07:15:00,28.32,predicted
436,2019-07-15 07:16:00,26.5,predicted
437,2019-07-15 07:17:00,26.02,predicted
438,2019-07-15 07:18:00,26.29,predicted
439,2019-07-15 07:19:00,28.29,predicted
440,2019-07-15 07:20:00,27.59,predicted
441,2019-07-15 07:21:00,31.38,predicted
442,2019-07-15 07:22:00,32.62,predicted
443,2019-07-15 07:23:00,32.53,predicted
444,2019-07-15 07:24:00,31.59,predicted
445,2019-07-15 07:25:00,33.89,predicted
446,2019-07-15 07:26:00,32.53,predicted
447,2019-07-15 07:27:00,31.3,predicted
448,2019-07-15 07:28:00,33.73,predicted
449,2019-07-15 07:29:00,33.7,predicted
450,2019-07-15 07:30:00,31.7,predicted
451,2019-07-15 07:31:00,31.92,predicted
452,2019-07-15 07:32:00,31.7,predicted
453,2019-07-15 07:33:00,27.83,predicted
454,2019-07-15 07:34:00,28.26,predicted
455,2019-07-15 07:35:00,29.67,predicted
456,2019-07-15 07:36:00,31.16,predicted
457,2019-07-15 07:37:00,29.64,predicted
458,2019-07-15 07:38:00,29.91,predicted
459,2019-07-15 07:39:00,31.46,predicted
460,2019-07-15 07:40:00,30.47,predicted
461,2019-07-15 07:41:00,27.97,predicted
462,2019-07-15 07:42:00,30.56,predicted
463,2019-07-15 07:43:00,33.4,predicted
464,2019-07-15 07:44:00,31.03,predicted
465,2019-07-15 07:45:00,32.94,predicted
466,2019-07-15 07:46:00,33.11,predicted
467,2019-07-15 07:47:00,32.89,predicted
468,2019-07-15 07:48:00,32.22,predicted
469,2019-07-15 07:49:00,32.57,predicted
470,2019-07-15 07:50:00,29.07,predicted
471,2019-07-15 07:51:00,29.67,predicted
472,2019-07-15 07:52:00,30.09,predicted
473,2019-07-15 07:53:00,30.47,predicted
474,2019-07-15 07:54:00,32.88,predicted
475,2019-07-15 07:55:00,36.81,predicted
476,2019-07-15 07:56:00,38.77,predicted
477,2019-07-15 07:57:00,37.55,predicted
478,2019-07-15 07:58:00,37.91,predicted
479,2019-07-15 07:59:00,39.6,predicted
480,2019-07-15 08:00:00,39.04,predicted
481,2019-07-15 08:01:00,36.66,predicted
482,2019-07-15 08:02:00,39.22,predicted
483,2019-07-15 08:03:00,37.95,predicted
484,2019-07-15 08:04:00,35.27,predicted
485,2019-07-15 08:05:00,35.91,predicted
486,2019-07-15 08:06:00,41.06,predicted
487,2019-07-15 08:07:00,39.35,predicted
488,2019-07-15 08:08:00,40.7,predicted
489,2019-07-15 08:09:00,42.52,predicted
490,2019-07-15 08:10:00,41.29,predicted
491,2019-07-15 08:11:00,38.56,predicted
492,2019-07-15 08:12:00,40.68,predicted
493,2019-07-15 08:13:00,43.66,predicted
494,2019-07-15 08:14:00,43.07,predicted
495,2019-07-15 08:15:00,41.86,predicted
496,2019-07-15 08:16:00,40.82,predicted
497,2019-07-15 08:17:00,38.81,predicted
498,2019-07-15 08:18:00,36.04,predicted
499,2019-07-15 08:19:00,37.55,predicted
500,2019-07-15 08:20:00,41.72,predicted
501,2019-07-15 08:21:00,43.25,predicted
502,2019-07-15 08:22:00,46.45,predicted
503,2019-07-15 08:23:00,47.31,predicted
504,2019-07-15 08:24:00,45.87,predicted
505,2019-07-15 08:25:00,45.89,predicted
506,2019-07-15 08:26:00,46.0,predicted
507,2019-07-15 08:27:00,44.24,predicted
508,2019-07-15 08:28:00,46.12,predicted
509,2019-07-15 08:29:00,45.54,predicted
510,2019-07-15 08:30:00,44.25,predicted
511,2019-07-15 08:31:00,45.84,predicted
512,2019-07-15 08:32:00,45.92,predicted
513,2019-07-15 08:33:00,42.81,predicted
514,2019-07-15 08:34:00,42.77,predicted
515,2019-07-15 08:35:00,43.63,predicted
516,2019-07-15 08:36:00,42.96,predicted
517,2019-07-15 08:37:00,43.69,predicted
518,2019-07-15 08:38:00,45.98,predicted
519,2019-07-15 08:39:00,50.1,predicted
520,2019-07-15 08:40:00,50.85,predicted
521,2019-07-15 08:41:00,50.66,predicted
522,2019-07-15 08:42:00,53.56,predicted
523,2019-07-15 08:43:00,51.42,predicted
524,2019-07-15 08:44:00,48.15,predicted
525,2019-07-15 08:45:00,47.25,predicted
526,2019-07-15 08:46:00,50.33,predicted
527,2019-07-15 08:47:00,46.01,predicted
528,2019-07-15 08:48:00,52.66,predicted
529,2019-07-15 08:49:00,53.09,predicted
530,2019-07-15 08:50:00,52.67,predicted
531,2019-07-15 08:51:00,52.86,predicted
532,2019-07-15 08:52:00,57.34,predicted
533,2019-07-15 08:53:00,52.6,predicted
534,2019-07-15 08:54:00,52.0,predicted
535,2019-07-15 08:55:00,53.52,predicted
536,2019-07-15 08:56:00,51.36,predicted
537,2019-07-15 08:57:00,48.67,predicted
538,2019-07-15 08:58:00,49.82,predicted
539,2019-07-15 08:59:00,53.72,predicted
540,2019-07-15 09:00:00,55.37,predicted
541,2019-07-15 09:01:00,56.77,predicted
542,2019-07-15 09:02:00,57.12,predicted
543,2019-07-15 09:03:00,59.22,predicted
544,2019-07-15 09:04:00,58.66,predicted
545,2019-07-15 09:05:00,55.72,predicted
546,2019-07-15 09:06:00,56.92,predicted
547,2019-07-15 09:07:00,60.67,predicted
548,2019-07-15 09:08:00,58.92,predicted
549,2019-07-15 09:09:00,60.87,predicted
550,2019-07-15 09:10:00,64.2,predicted
551,2019-07-15 09:11:00,60.92,predicted
552,2019-07-15 09:12:00,60.26,predicted
553,2019-07-15 09:13:00,59.45,predicted
554,2019-07-15 09:14:00,57.15,predicted
555,2019-07-15 09:15:00,54.75,predicted
556,2019-07-15 09:16:00,56.8,predicted
557,2019-07-15 09:17:00,58.93,predicted
558,2019-07-15 09:18:00,58.36,predicted
559,2019-07-15 09:19:00,60.49,predicted
560,2019-07-15 09:20:00,63.55,predicted
561,2019-07-15 09:21:00,66.78,predicted
562,2019-07-15 09:22:00,65.55,predicted
563,2019-07-15 09:23:00,67.33,predicted
564,2019-07-15 09:24:00,68.47,predicted
565,2019-07-15 09:25:00,65.36,predicted
566,2019-07-15 09:26:00,63.92,predicted
567,2019-07-15 09:27:00,63.95,predicted
568,2019-07-15 09:28:00,63.77,predicted
569,2019-07-15 09:29:00,60.2,predicted
570,2019-07-15 09:30:00,61.37,predicted
571,2019-07-15 09:31:00,59.89,predicted
572,2019-07-15 09:32:00,59.3,predicted
573,2019-07-15 09:33:00,61.11,predicted
574,2019-07-15 09:34:00,60.02,predicted
575,2019-07-15 09:35:00,60.99,predicted
576,2019-07-15 09:36:00,58.69,predicted
577,2019-07-15 09:37:00,56.68,predicted
578,2019-07-15 09:38:00,56.26,predicted
579,2019-07-15 09:39:00,58.77,predicted
580,2019-07-15 09:40:00,58.01,predicted
581,2019-07-15 09:41:00,60.91,predicted
582,2019-07-15 09:42:00,63.45,predicted
583,2019-07-15 09:43:00,63.84,predicted
584,2019-07-15 09:44:00,63.72,predicted
585,2019-07-15 09:45:00,64.01,predicted
586,2019-07-15 09:46:00,64.61,predicted
587,2019-07-15 09:47:00,62.26,predicted
588,2019-07-15 09:48:00,61.65,predicted
589,2019-07-15 09:49:00,62.22,predicted
590,2019-07-15 09:50:00,61.75,predicted
591,2019-07-15 09:51:00,58.64,predicted
592,2019-07-15 09:52:00,58.65,predicted
593,2019-07-15 09:53:00,57.32,predicted
594,2019-07-15 09:54:00,56.88,predicted
595,2019-07-15 09:55:00,58.45,predicted
596,2019-07-15 09:56:00,61.28,predicted
597,2019-07-15 09:57:00,63.19,predicted
598,2019-07-15 09:58:00,65.48,predicted
599,2019-07-15 09:59:00,66.21,predicted
600,2019-07-15 10:00:00,66.06,predicted
601,2019-07-15 10:01:00,65.17,predicted
602,2019-07-15 10:02:00,63.3,predicted
603,2019-07-15 10:03:00,61.13,predicted
604,2019-07-15 10:04:00,62.29,predicted
605,2019-07-15 10:05:00,64.35,predicted
606,2019-07-15 10:06:00,65.91,predicted
