Series;Time;Value
1w;2019-05-24T03:58:00+05:30;36.6
1w;2019-05-24T03:59:00+05:30;37.4
1w;2019-05-24T04:00:00+05:30;40
1w;2019-05-24T04:01:00+05:30;41.4
1w;2019-05-24T04:02:00+05:30;40.4
1w;2019-05-24T04:03:00+05:30;39.4
1w;2019-05-24T04:04:00+05:30;37.6
1w;2019-05-24T04:05:00+05:30;35.4
1w;2019-05-24T04:06:00+05:30;33.8
1w;2019-05-24T04:07:00+05:30;36
1w;2019-05-24T04:08:00+05:30;32
1w;2019-05-24T04:09:00+05:30;31.8
1w;2019-05-24T04:10:00+05:30;35.4
1w;2019-05-24T04:11:00+05:30;34.6
1w;2019-05-24T04:12:00+05:30;31.4
1w;2019-05-24T04:13:00+05:30;32.8
1w;2019-05-24T04:14:00+05:30;32.2
1w;2019-05-24T04:15:00+05:30;34
1w;2019-05-24T04:16:00+05:30;36.2
1w;2019-05-24T04:17:00+05:30;38.6
1w;2019-05-24T04:18:00+05:30;42
1w;2019-05-24T04:19:00+05:30;45.4
1w;2019-05-24T04:20:00+05:30;43
1w;2019-05-24T04:21:00+05:30;41.8
1w;2019-05-24T04:22:00+05:30;41.8
1w;2019-05-24T04:23:00+05:30;38.8
1w;2019-05-24T04:24:00+05:30;36.4
1w;2019-05-24T04:25:00+05:30;35.4
1w;2019-05-24T04:26:00+05:30;37
1w;2019-05-24T04:27:00+05:30;38
1w;2019-05-24T04:28:00+05:30;39.4
1w;2019-05-24T04:29:00+05:30;41.4
1w;2019-05-24T04:30:00+05:30;35.6
1w;2019-05-24T04:31:00+05:30;29.2
1w;2019-05-24T04:32:00+05:30;23
1w;2019-05-24T04:33:00+05:30;17
1w;2019-05-24T04:34:00+05:30;11.6
1w;2019-05-24T04:35:00+05:30;11
1w;2019-05-24T04:36:00+05:30;12.2
1w;2019-05-24T04:37:00+05:30;10.4
1w;2019-05-24T04:38:00+05:30;10.2
1w;2019-05-24T04:39:00+05:30;9.2
1w;2019-05-24T04:40:00+05:30;10.2
1w;2019-05-24T04:41:00+05:30;8.4
1w;2019-05-24T04:42:00+05:30;10.8
1w;2019-05-24T04:43:00+05:30;10.2
1w;2019-05-24T04:44:00+05:30;10
1w;2019-05-24T04:45:00+05:30;8.8
1w;2019-05-24T04:46:00+05:30;8.8
1w;2019-05-24T04:47:00+05:30;6.8
1w;2019-05-24T04:48:00+05:30;7.2
1w;2019-05-24T04:49:00+05:30;7.4
1w;2019-05-24T04:50:00+05:30;8.2
1w;2019-05-24T04:51:00+05:30;9
1w;2019-05-24T04:52:00+05:30;9.4
1w;2019-05-24T04:53:00+05:30;9.4
1w;2019-05-24T04:54:00+05:30;8.8
1w;2019-05-24T04:55:00+05:30;8.2
1w;2019-05-24T04:56:00+05:30;7.8
1w;2019-05-24T04:57:00+05:30;8
1w;2019-05-24T04:58:00+05:30;10.4
1w;2019-05-24T04:59:00+05:30;10.6
1w;2019-05-24T05:00:00+05:30;10.2
1w;2019-05-24T05:01:00+05:30;9.8
1w;2019-05-24T05:02:00+05:30;9.2
1w;2019-05-24T05:03:00+05:30;6.4
1w;2019-05-24T05:04:00+05:30;6.2
1w;2019-05-24T05:05:00+05:30;6.8
1w;2019-05-24T05:06:00+05:30;7
1w;2019-05-24T05:07:00+05:30;6.6
1w;2019-05-24T05:08:00+05:30;6.2
1w;2019-05-24T05:09:00+05:30;5.6
